OCC10,SIBS,AGE,EDUC,PAEDUC,MAEDUC,DEGREE,PADEG,MADEG,MAJOR1,MAJOR2,DIPGED,SECTOR,BARATE,SEX,RACE,RES16,REG16,FAMILY16,MAWRKGRW,INCOM16,BORN,PARBORN,GRANBORN,POLVIEWS,INCOME
Broadcast and sound engineering technicians and radio,1.0,26.0,16.0,16.0,16.0,BACHELOR,BACHELOR,GRADUATE,,,,,,MALE,WHITE,CITY GT 250000,W. SOU. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,1.0,SLGHTLY CONSERVATIVE,$8 000 TO 9 999
Advertising and promotions managers,6.0,44.0,14.0,12.0,12.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,1.0,LIBERAL,$7 000 TO 7 999
First-line supervisors of office and administrative support workers,0.0,44.0,18.0,11.0,11.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,W. SOU. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$50000 TO 59999
Dispatchers,8.0,40.0,16.0,10.0,10.0,HIGH SCHOOL,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,MALE,BLACK,TOWN LT 50000,W. SOU. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$25000 TO 29999
"Software developers, applications and systems software",7.0,37.0,16.0,,13.0,BACHELOR,,HIGH SCHOOL,,,,,,MALE,WHITE,"COUNTRY,NONFARM",W. SOU. CENTRAL,MOTHER,YES,,YES,BOTH IN U.S,,LIBERAL,$75000 TO $89999
Computer and information systems managers,3.0,29.0,16.0,16.0,13.0,BACHELOR,BACHELOR,HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,W. SOU. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,1.0,SLGHTLY CONSERVATIVE,$60000 TO 74999
"Office and administrative support workers, all other",2.0,31.0,16.0,12.0,16.0,BACHELOR,HIGH SCHOOL,BACHELOR,,,,,,FEMALE,WHITE,TOWN LT 50000,W. SOU. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$20000 TO 22499
Technical writers,11.0,45.0,14.0,10.0,,JUNIOR COLLEGE,LT HIGH SCHOOL,,,,,,,FEMALE,WHITE,CITY GT 250000,W. SOU. CENTRAL,FATHER,,,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$60000 TO 74999
Cashiers,2.0,26.0,15.0,17.0,20.0,BACHELOR,GRADUATE,GRADUATE,,,,,,MALE,OTHER,BIG-CITY SUBURB,FOREIGN,MOTHER & FATHER,YES,,NO,NEITHER IN U.S,4.0,MODERATE,$10000 TO 12499
"Other education, training, and library workers",2.0,45.0,18.0,16.0,18.0,GRADUATE,BACHELOR,GRADUATE,,,,,,FEMALE,WHITE,50000 TO 250000,W. SOU. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$40000 TO 49999
Advertising and promotions managers,0.0,23.0,16.0,20.0,16.0,BACHELOR,GRADUATE,JUNIOR COLLEGE,,,,,,FEMALE,WHITE,TOWN LT 50000,NEW ENGLAND,MOTHER & FATHER,NO,,YES,BOTH IN U.S,1.0,EXTREMELY LIBERAL,$1 000 TO 2 999
Elementary and middle school teachers,5.0,26.0,17.0,14.0,,BACHELOR,HIGH SCHOOL,,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,W. SOU. CENTRAL,FATHER,,,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$10000 TO 12499
