SIBS,DEGREE,PADEG,MADEG,SEX,MAJOR1,DIPGED,FAMILY16,PARBORN,GRANBORN,POLVIEWS,INCOME
0.0,BACHELOR,JUNIOR COLLEGE,HIGH SCHOOL,FEMALE,Public Relations,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,LIBERAL,30000
2.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,FEMALE,LIBERAL ARTS,High School diploma,MOTHER,BOTH IN U.S,ALL IN U.S,LIBERAL,6000
3.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,FEMALE,HEALTH,High School diploma,FATHER,NEITHER IN U.S,4.0,LIBERAL,90000
4.0,BACHELOR,GRADUATE,GRADUATE,MALE,Electronics,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,SLIGHTLY LIBERAL,60000
2.0,BACHELOR,HIGH SCHOOL,BACHELOR,FEMALE,PSYCHOLOGY,High School diploma,MOTHER,FATHER ONLY,2.0,LIBERAL,30000
1.0,GRADUATE,GRADUATE,GRADUATE,FEMALE,BIOLOGY,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,LIBERAL,90000
2.0,BACHELOR,BACHELOR,BACHELOR,MALE,FINANCE,High School diploma,MOTHER & FATHER,BOTH IN U.S,2.0,SLGHTLY CONSERVATIVE,150000
3.0,BACHELOR,BACHELOR,HIGH SCHOOL,FEMALE,NURSING,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,SLGHTLY CONSERVATIVE,90000
3.0,BACHELOR,BACHELOR,JUNIOR COLLEGE,FEMALE,PSYCHOLOGY,High School diploma,MOTHER & STPFATHER,NEITHER IN U.S,4.0,MODERATE,40000
1.0,BACHELOR,HIGH SCHOOL,LT HIGH SCHOOL,MALE,ENGINEERING,High School diploma,MOTHER,NEITHER IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,60000
1.0,GRADUATE,GRADUATE,BACHELOR,FEMALE,LIBRARY SCIENCE,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,40000
2.0,GRADUATE,BACHELOR,BACHELOR,MALE,ART,High School diploma,MOTHER & STPFATHER,FATHER ONLY,2.0,LIBERAL,60000
5.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,FEMALE,LAW ENFORCEMENT,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,LIBERAL,40000
5.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,FEMALE,HEALTH,High School diploma,FATHER,NEITHER IN U.S,4.0,MODERATE,50000
0.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,FEMALE,ADVERTISING,High School diploma,MOTHER & FATHER,BOTH IN U.S,4.0,EXTREMELY LIBERAL,7000
3.0,BACHELOR,JUNIOR COLLEGE,BACHELOR,MALE,BUSINESS ADMINISTRATION,High School diploma,FATHER & STPMOTHER,NEITHER IN U.S,4.0,MODERATE,75000
0.0,GRADUATE,HIGH SCHOOL,GRADUATE,MALE,PSYCHOLOGY,High School diploma,MOTHER,NEITHER IN U.S,4.0,SLGHTLY CONSERVATIVE,30000
4.0,BACHELOR,BACHELOR,BACHELOR,MALE,ENGLISH,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,LIBERAL,75000
1.0,GRADUATE,HIGH SCHOOL,BACHELOR,FEMALE,LIBRARY SCIENCE,High School diploma,MOTHER & FATHER,BOTH IN U.S,2.0,CONSERVATIVE,75000
1.0,BACHELOR,GRADUATE,BACHELOR,MALE,ENGINEERING,High School diploma,MOTHER & FATHER,BOTH IN U.S,2.0,MODERATE,75000
2.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,FEMALE,Social Sciences,High School diploma,MOTHER,NEITHER IN U.S,4.0,LIBERAL,40000
0.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,MALE,COMMUNICATIONS/SPEECH,High School diploma,MOTHER & FATHER,FATHER ONLY,2.0,LIBERAL,50000
3.0,BACHELOR,JUNIOR COLLEGE,GRADUATE,FEMALE,POLITICAL SCIENCE/INTERNATIONAL RELATIONS,High School diploma,MOTHER & FATHER,BOTH IN U.S,3.0,MODERATE,40000
1.0,GRADUATE,JUNIOR COLLEGE,JUNIOR COLLEGE,MALE,Human Services/Human Resources,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,MODERATE,60000
5.0,BACHELOR,GRADUATE,BACHELOR,FEMALE,Human Services/Human Resources,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,40000
2.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,FEMALE,COMMUNICATIONS/SPEECH,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,4000
2.0,BACHELOR,BACHELOR,JUNIOR COLLEGE,FEMALE,POLITICAL SCIENCE/INTERNATIONAL RELATIONS,High School diploma,MOTHER & FATHER,FATHER ONLY,2.0,SLIGHTLY LIBERAL,10000
1.0,BACHELOR,HIGH SCHOOL,BACHELOR,MALE,COMPUTER SCIENCE,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,SLGHTLY CONSERVATIVE,110000
3.0,BACHELOR,HIGH SCHOOL,JUNIOR COLLEGE,FEMALE,Child/Human/Family Development,High School diploma,MOTHER & FATHER,MOTHER ONLY,2.0,SLGHTLY CONSERVATIVE,20000
6.0,BACHELOR,HIGH SCHOOL,BACHELOR,FEMALE,SOCIOLOGY,High School diploma,MOTHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,50000
1.0,BACHELOR,BACHELOR,JUNIOR COLLEGE,MALE,Criminology/Criminal Justice,High School diploma,MOTHER & FATHER,MOTHER ONLY,2.0,EXTREMELY LIBERAL,60000
2.0,BACHELOR,BACHELOR,BACHELOR,MALE,MARKETING,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,SLIGHTLY LIBERAL,8000
3.0,BACHELOR,HIGH SCHOOL,JUNIOR COLLEGE,MALE,MARKETING,High School diploma,MOTHER,BOTH IN U.S,ALL IN U.S,LIBERAL,50000
2.0,GRADUATE,GRADUATE,BACHELOR,MALE,EDUCATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,1.0,LIBERAL,60000
2.0,GRADUATE,GRADUATE,BACHELOR,MALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,90000
4.0,JUNIOR COLLEGE,HIGH SCHOOL,LT HIGH SCHOOL,MALE,OTHER,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,CONSERVATIVE,35000
2.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,MALE,ACCOUNTING/BOOKKEEPING,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,150000
2.0,BACHELOR,GRADUATE,BACHELOR,MALE,MUSIC,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,50000
2.0,GRADUATE,JUNIOR COLLEGE,BACHELOR,FEMALE,CHEMISTRY,High School diploma,MOTHER & STPFATHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,90000
0.0,BACHELOR,GRADUATE,BACHELOR,FEMALE,ART,GED,MOTHER & FATHER,NEITHER IN U.S,4.0,MODERATE,40000
0.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,MALE,COMMUNICATIONS/SPEECH,High School diploma,MOTHER,BOTH IN U.S,1.0,CONSERVATIVE,75000
3.0,GRADUATE,BACHELOR,HIGH SCHOOL,FEMALE,INDUSTRY & TECHN,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,MODERATE,30000
3.0,GRADUATE,HIGH SCHOOL,GRADUATE,MALE,EDUCATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,50000
2.0,BACHELOR,BACHELOR,BACHELOR,MALE,COMMUNICATIONS/SPEECH,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,75000
1.0,BACHELOR,GRADUATE,BACHELOR,MALE,THEATER ARTS,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,LIBERAL,4000
